Country,Country2,Region,Happiness,GDP,Social_support,Healthy_expectancy,Freedom,Generosity,Prevent_Corruption
afghanistan,afghanistan,south asia,low,low,low,low,low,low,low
albania,albania,central and eastern europe,low,medium,low,high,medium,medium,low
algeria,algeria,middle east and north africa,low,medium,medium,medium,low,low,high
argentina,argentina,latin america and caribbean,medium,medium,high,high,medium,low,low
armenia,armenia,commonwealth of independent states,low,medium,low,medium,low,low,medium
australia,australia,north america,high,high,high,high,high,high,high
austria,austria,western europe,high,high,high,high,high,high,high
azerbaijan,azerbaijan,commonwealth of independent states,medium,medium,medium,medium,medium,low,high
bahrain,bahrain,middle east and north africa,high,high,medium,high,high,high,high
bangladesh,bangladesh,south asia,low,low,low,medium,high,medium,high
belarus,belarus,commonwealth of independent states,medium,medium,high,medium,low,low,high
belgium,belgium,western europe,high,high,high,high,medium,medium,high
benin,benin,sub - saharan africa,medium,low,low,low,low,medium,medium
bolivia,bolivia,latin america and caribbean,medium,low,medium,medium,high,medium,medium
bosnia and herzegovina,bosnia and herzegovina,central and eastern europe,medium,medium,medium,medium,low,high,low
botswana,botswana,sub - saharan africa,low,medium,low,low,medium,low,medium
brazil,brazil,latin america and caribbean,high,medium,high,medium,medium,low,medium
bulgaria,bulgaria,central and eastern europe,medium,medium,high,medium,medium,low,low
burkina faso,burkina faso,sub - saharan africa,low,low,low,low,low,medium,medium
burundi,burundi,sub - saharan africa,low,low,low,low,low,medium,high
cambodia,cambodia,southeast asia,low,low,low,low,high,high,medium
cameroon,cameroon,sub - saharan africa,medium,low,low,low,medium,medium,low
canada,canada,north america,high,high,high,high,high,high,high
central african republic,central african republic,sub - saharan africa,low,low,low,low,low,high,low
chad,chad,sub - saharan africa,low,low,low,low,low,medium,medium
chile,chile,latin america and caribbean,high,medium,medium,high,medium,medium,low
china,china,east asia,medium,medium,medium,high,high,low,medium
colombia,colombia,latin america and caribbean,high,medium,medium,medium,medium,low,low
comoros,comoros,sub - saharan africa,low,low,low,low,low,high,medium
congo (brazzaville),congo (brazzaville),sub - saharan africa,medium,low,low,low,low,low,medium
congo (kinshasa),congo (kinshasa),sub - saharan africa,low,low,low,low,low,high,medium
costa rica,costa rica,latin america and caribbean,high,medium,high,high,high,low,medium
croatia,croatia,central and eastern europe,medium,medium,medium,high,low,low,low
cyprus,cyprus,western europe,high,high,medium,high,medium,medium,low
czech republic,czech republic,central and eastern europe,high,high,high,high,medium,low,low
